t,label,cpu_pct_sum,rss_mb_sum,n_procs,idle_timeout_s
1788963146.5214574,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963146.7235718,serverless_reactive:cyclical:0,14.8,165.06,4,8.0
1788963146.9262278,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963147.1288853,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963147.3310876,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963147.5329869,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963147.7348287,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963147.936688,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963148.139094,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963148.3409457,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963148.5429075,serverless_reactive:cyclical:0,5.0,165.06,4,8.0
1788963148.7448068,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963148.946653,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963149.1492639,serverless_reactive:cyclical:0,4.9,165.06,4,8.0
1788963149.3533435,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963149.5555682,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963149.7576993,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963149.9596982,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963150.1617835,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963150.363726,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963150.5656438,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963150.7674298,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963150.9694173,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963151.1712346,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963151.3730319,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963151.574848,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963151.7775662,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963151.9796646,serverless_reactive:cyclical:0,9.8,165.06,4,8.0
1788963152.1818542,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963152.383816,serverless_reactive:cyclical:0,0.0,165.06,4,8.0
1788963152.5856194,serverless_reactive:cyclical:0,0.0,79.88,3,8.0
1788963152.787491,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963152.9896002,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963153.1913471,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963153.3930657,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963153.5948052,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963153.7967093,serverless_reactive:cyclical:0,0.0,37.27,1,8.0
1788963154.000527,serverless_reactive:cyclical:0,4.9,92.79,4,8.0
