policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,startup_lead_s
serverless_predictive_movavg,cyclical,1,15,3,12,63,0,0,4,3,9.074792742729187,movavg,True,1.5
serverless_predictive_movavg,cyclical,2,15,3,12,63,0,0,4,3,9.533403158187866,movavg,True,1.5
serverless_predictive_movavg,cyclical,3,15,3,12,63,0,0,4,3,9.408795475959778,movavg,True,1.5
serverless_predictive_movavg,cyclical,4,15,3,12,63,0,0,4,3,9.81615525484085,movavg,True,1.5
serverless_predictive_movavg,cyclical,5,15,3,12,63,0,0,4,3,9.241758525371552,movavg,True,1.5
serverless_predictive_fixed,cyclical,0,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
serverless_predictive_fixed,cyclical,1,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
serverless_predictive_fixed,cyclical,2,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
serverless_predictive_fixed,cyclical,3,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
serverless_predictive_fixed,cyclical,4,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
serverless_predictive_fixed,cyclical,5,15,4,11,64,0,0,4,3,9.0,fixed,True,1.5
