t,label,cpu_pct_sum,rss_mb_sum,n_procs
1788950256.0203075,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950256.2223532,serverless_predictive_fixed:cyclical:1,4.9,36.71,1
1788950256.4245787,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950256.626628,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950256.828845,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950257.0307775,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950257.232821,serverless_predictive_fixed:cyclical:1,4.9,36.71,1
1788950257.4348683,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950257.6368947,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950257.8388057,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950258.0408115,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950258.2427402,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950258.4448493,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950258.6469371,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950258.8491209,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950259.0510674,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950259.25363,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950259.455713,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950259.6578074,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950259.8598666,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950260.0618744,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950260.263953,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950260.466152,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950260.66838,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950260.8704524,serverless_predictive_fixed:cyclical:1,0.0,36.71,1
1788950261.0801148,serverless_predictive_fixed:cyclical:1,14.3,109.67,4
1788950261.284024,serverless_predictive_fixed:cyclical:1,196.2,137.41,4
1788950261.489084,serverless_predictive_fixed:cyclical:1,195.1,152.08,4
1788950261.6930807,serverless_predictive_fixed:cyclical:1,156.8,164.86,4
1788950261.896191,serverless_predictive_fixed:cyclical:1,4.9,164.93,4
1788950262.098526,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950262.3013685,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950262.5048728,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950262.7074082,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950262.9098737,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950263.1127727,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950263.3154209,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950263.5179021,serverless_predictive_fixed:cyclical:1,4.9,164.93,4
1788950263.7211814,serverless_predictive_fixed:cyclical:1,4.9,164.93,4
1788950263.9236248,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950264.1259422,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950264.3287475,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950264.5313404,serverless_predictive_fixed:cyclical:1,9.8,164.93,4
1788950264.7336612,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950264.9362886,serverless_predictive_fixed:cyclical:1,4.9,164.93,4
1788950265.1387763,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950265.341272,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950265.5438135,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950265.7475445,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950265.9501543,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950266.152781,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950266.3551083,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950266.5577798,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950266.7603936,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950266.9628096,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950267.165467,serverless_predictive_fixed:cyclical:1,4.9,164.93,4
1788950267.3679707,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950267.5703826,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950267.7730362,serverless_predictive_fixed:cyclical:1,0.0,164.93,4
1788950267.975684,serverless_predictive_fixed:cyclical:1,0.0,182.64,5
1788950268.178032,serverless_predictive_fixed:cyclical:1,98.8,158.06,4
1788950268.3805156,serverless_predictive_fixed:cyclical:1,98.7,122.21,3
1788950268.58268,serverless_predictive_fixed:cyclical:1,4.9,79.8,2
1788950268.784892,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950268.9872825,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950269.1894155,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950269.391523,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950269.5935822,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950269.7957535,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950269.9977882,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950270.2000384,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950270.4021463,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950270.6043446,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950270.8064322,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950271.008711,serverless_predictive_fixed:cyclical:1,0.0,79.8,2
1788950271.2111506,serverless_predictive_fixed:cyclical:1,14.8,126.63,4
1788950271.4140048,serverless_predictive_fixed:cyclical:1,202.1,153.08,4
1788950271.61773,serverless_predictive_fixed:cyclical:1,132.5,165.05,4
1788950271.820094,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950272.0223782,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950272.2248006,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950272.4271386,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950272.629569,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950272.8320024,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950273.0345213,serverless_predictive_fixed:cyclical:1,4.9,165.05,4
1788950273.2369506,serverless_predictive_fixed:cyclical:1,9.8,165.05,4
1788950273.4395561,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950273.6417933,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950273.844887,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950274.047441,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950274.24986,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950274.4522598,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950274.6547866,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950274.8574991,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950275.0599008,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950275.262229,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950275.4647532,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950275.6677978,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950275.8700898,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950276.072664,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950276.2752423,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950276.4777162,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950276.6801918,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950276.8826203,serverless_predictive_fixed:cyclical:1,9.8,165.05,4
1788950277.0851626,serverless_predictive_fixed:cyclical:1,4.9,165.05,4
1788950277.2879214,serverless_predictive_fixed:cyclical:1,0.0,165.05,4
1788950277.490255,serverless_predictive_fixed:cyclical:1,0.0,122.5,3
1788950277.6927068,serverless_predictive_fixed:cyclical:1,4.9,122.5,3
1788950277.8950708,serverless_predictive_fixed:cyclical:1,9.8,61.55,3
1788950278.0977488,serverless_predictive_fixed:cyclical:1,103.6,73.91,2
1788950278.299945,serverless_predictive_fixed:cyclical:1,69.2,79.82,2
1788950278.501887,serverless_predictive_fixed:cyclical:1,0.0,79.82,2
