scenario,policy,trial,n_requests,n_cold,median_latency_ms,p95_latency_ms,mean_queue_ms,mean_cold_ms
moderate,serverless_predictive_ewma,0,236,3,2.5461154999675273,3.1312189998971007,0.0,5.257580508474576
moderate,serverless_predictive_ewma,1,236,3,2.6896814998735863,4.183019250035613,0.0,5.23525
moderate,serverless_predictive_ewma,2,235,2,2.4823720000313187,3.0983802001173886,0.0,3.3512765957446806
moderate,serverless_predictive_ewma,3,235,2,2.8151219999017485,3.3652238999138704,0.0,3.2594936170212767
moderate,serverless_predictive_ewma,4,236,3,2.9553270001088094,3.840800500029218,0.0,5.423885593220338
cyclical,container,0,75,0,13.19629099998565,19.45386770000823,0.0,0.0
cyclical,container,1,75,0,14.329539000073057,24.753856799929963,0.0,0.0
cyclical,container,2,75,0,13.727512000059503,14.913856899988787,0.0,0.0
cyclical,container,3,75,0,12.836897000170213,18.3582917999729,0.0,0.0
cyclical,container,4,75,0,14.28550700006781,18.930856600036346,0.0,0.0
cyclical,container,5,75,0,13.741276999780894,24.46210709993011,0.0,0.0
cyclical,container,6,75,0,13.38303000011365,19.348010199905726,0.0,0.0
cyclical,container,7,75,0,14.65099500001088,19.63358729999527,0.0,0.0
cyclical,container,8,75,0,12.890046999928018,18.846897799903672,0.0,0.0
cyclical,container,9,75,0,13.90984199997547,19.487218299900633,0.0,0.0
cyclical,container,10,75,0,12.787637999736036,18.60745539979689,0.0,0.0
cyclical,container,11,75,0,14.205890000084764,18.462966000060987,0.0,0.0
cyclical,container,12,75,0,14.656444000138436,18.737968400000685,0.0,0.0
cyclical,container,13,75,0,12.845149999975549,19.501336700204774,0.0,0.0
cyclical,container,14,75,0,14.701538999815966,18.43169499998112,0.0,0.0
cyclical,serverless_reactive,0,75,15,608.3621759999005,663.923642699865,467.3046533333335,117.76213333333334
cyclical,serverless_reactive,1,75,15,620.470467999894,685.528322700111,482.5915333333334,119.05446666666668
cyclical,serverless_reactive,2,75,15,627.336627999739,668.2869548002145,485.2053066666667,118.37997333333333
cyclical,serverless_reactive,3,75,15,604.6484899998177,677.9355806001149,472.83090666666664,116.46146666666668
cyclical,serverless_reactive,4,75,15,589.7415849999561,663.0353938999178,459.39148000000006,115.17154666666669
cyclical,serverless_reactive,5,75,15,613.0767959998593,688.3304291000968,479.61448,118.46773333333333
cyclical,serverless_reactive,6,75,15,621.4900240001953,676.1156472000948,481.97372,121.1012
cyclical,serverless_reactive,7,75,15,604.1118849998384,654.9748566998915,463.84022666666664,115.55452
cyclical,serverless_reactive,8,75,15,623.6866310000551,679.6807094998258,486.8971466666667,120.27255999999998
cyclical,serverless_reactive,9,75,15,620.3290720000041,682.2062091000134,482.4834666666666,119.47742666666667
cyclical,serverless_reactive,10,75,15,630.2466339998318,740.3105881000101,499.26926666666674,122.9586
cyclical,serverless_reactive,11,75,15,645.7615549998081,707.2779030002039,503.55321333333325,122.93273333333333
cyclical,serverless_reactive,12,75,15,620.4223029999412,718.5035518999939,485.53426666666667,120.05464
cyclical,serverless_reactive,13,75,15,610.496884999975,688.1379347998518,478.14291999999995,117.94894666666664
cyclical,serverless_reactive,14,75,15,637.3003639996568,717.58328169999,493.3187733333333,121.87369333333334
cyclical,serverless_predictive_ewma,0,75,12,198.7402380000276,703.6067996000156,254.57146666666662,87.87720000000002
cyclical,serverless_predictive_ewma,1,75,13,563.8146950000191,701.7602957000236,380.47022666666663,103.81695999999998
cyclical,serverless_predictive_ewma,2,75,12,204.70352500001357,706.7685287000586,256.8808666666667,86.63032
