policy,scenario,trial,cold_starts,predictive_cold_starts,reactive_cold_starts,warm_hits,wasted_prewarms,spawn_failures,gap_observations,pool_size,predicted_gap_s,predictor,predictive,run_label
serverless_predictive_movavg,bimodal,2,15,2,13,62,0,0,4,3,14.332388460636139,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,3,12,2,10,65,0,0,4,3,9.84115755558014,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,4,9,1,8,67,0,0,4,3,7.394741714000702,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,5,3,0,3,72,0,0,4,3,4.743084013462067,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,6,6,0,6,69,0,0,4,3,6.182468950748444,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,7,9,2,7,68,0,0,4,3,7.124543070793152,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,8,11,3,8,67,2,0,4,3,10.1441730260849,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,9,10,3,7,68,1,0,4,3,9.058440625667572,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,10,7,2,5,70,1,0,4,3,6.5384708642959595,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,11,6,1,5,70,0,0,4,3,6.628953039646149,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,12,9,1,8,67,0,0,4,3,10.394900977611542,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,13,9,2,7,68,0,0,4,3,8.50384372472763,movavg,True,serverless_predictive_movavg
serverless_predictive_movavg,bimodal,14,6,0,6,69,0,0,4,3,6.563534736633301,movavg,True,serverless_predictive_movavg
serverless_predictive_fixed,bimodal,0,7,2,5,70,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,1,11,4,7,68,2,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,2,16,5,11,64,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,3,12,3,9,66,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,4,9,2,7,68,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,5,3,0,3,72,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,6,6,1,5,70,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,7,9,2,7,68,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,8,10,3,7,68,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,9,10,3,7,68,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,10,7,2,5,70,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,11,7,1,6,69,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,12,10,3,7,68,1,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,13,9,2,7,68,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
serverless_predictive_fixed,bimodal,14,7,1,6,69,0,0,4,3,9.0,fixed,True,serverless_predictive_fixed
