t,label,cpu_pct_sum,rss_mb_sum,n_procs,startup_lead_s
1788975469.1399403,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975469.341936,serverless_predictive_ewma:cyclical:0,5.0,165.0,4,0.1
1788975469.5437698,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975469.7463262,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975469.9483907,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975470.1504853,serverless_predictive_ewma:cyclical:0,4.9,165.0,4,0.1
1788975470.3525033,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975470.5543482,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975470.7564447,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975470.9583523,serverless_predictive_ewma:cyclical:0,5.0,165.0,4,0.1
1788975471.160264,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975471.3621671,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975471.5640354,serverless_predictive_ewma:cyclical:0,0.0,165.0,4,0.1
1788975471.7658606,serverless_predictive_ewma:cyclical:0,0.0,122.38,3,0.1
1788975471.9676094,serverless_predictive_ewma:cyclical:0,0.0,79.79,2,0.1
1788975472.1702626,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975472.3718467,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975472.5741594,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975472.7764928,serverless_predictive_ewma:cyclical:0,4.9,37.24,1,0.1
1788975472.9790308,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975473.181519,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975473.3837419,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975473.5861096,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975473.7884474,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975473.991234,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975474.1939769,serverless_predictive_ewma:cyclical:0,0.0,37.24,1,0.1
1788975474.3996894,serverless_predictive_ewma:cyclical:0,4.9,117.36,4,0.1
1788975474.6130607,serverless_predictive_ewma:cyclical:0,196.9,146.08,4,0.1
1788975474.8154476,serverless_predictive_ewma:cyclical:0,192.7,163.05,4,0.1
1788975475.018394,serverless_predictive_ewma:cyclical:0,24.7,165.02,4,0.1
1788975475.220423,serverless_predictive_ewma:cyclical:0,4.9,165.02,4,0.1
1788975475.4226625,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975475.6246397,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975475.8271608,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975476.029255,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975476.2312653,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975476.4332669,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975476.635109,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975476.8373942,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975477.0393875,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975477.241273,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975477.4429967,serverless_predictive_ewma:cyclical:0,5.0,165.02,4,0.1
1788975477.6449094,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975477.8467064,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975478.0484176,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975478.2502189,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975478.4519804,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975478.6538668,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975478.8558955,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975479.0578465,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975479.2598727,serverless_predictive_ewma:cyclical:0,0.0,165.02,4,0.1
1788975479.4617782,serverless_predictive_ewma:cyclical:0,5.0,165.02,4,0.1
